row_id,symbol,local_symbol,buy_sell,trade_time,tradeDate,server_date_time,user_price,order_type,alert_data,entry_id,lmt_id,stp_id,alert_status,strategy_name,pages
20577210,MNQ1!,MNQU6,BUY,2026-08-03T09:27:52-0500,2026-08-03,2026-08-03 14:27:52.541476,28656.95,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:27:52-0500', 'data': 'BUY', 'quantity': 12, 'risk_percentage': 0.0, 'price': '28656.95', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 14.2, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 14.2, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656773406,602656773415,602656773417,Order Placed,,68
20577209,MNQ1!,MNQU6,BUY,2026-08-03T09:27:52-0500,2026-08-03,2026-08-03 14:27:52.562289,28656.95,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:27:52-0500', 'data': 'BUY', 'quantity': 12, 'risk_percentage': 0.0, 'price': '28656.95', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 14.2, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 14.2, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656732971,602656732980,602656732982,Order Placed,,68
20577208,MNQ1!,MNQU6,BUY,2026-08-03T09:27:52-0500,2026-08-03,2026-08-03 14:27:52.518203,28656.95,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:27:52-0500', 'data': 'BUY', 'quantity': 12, 'risk_percentage': 0.0, 'price': '28656.95', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 14.2, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 14.2, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_8', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656702874,602656702883,602656702885,Order Placed,,68
20577207,MNQ1!,MNQU6,BUY,2026-08-03T09:27:52-0500,2026-08-03,2026-08-03 14:27:52.468162,28656.95,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:27:52-0500', 'data': 'BUY', 'quantity': 12, 'risk_percentage': 0.0, 'price': '28656.95', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 14.2, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 14.2, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_10', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",606540440080,606540440089,606540440091,Order Placed,,68
20577206,MNQ1!,MNQU6,BUY,2026-08-03T09:27:52-0500,2026-08-03,2026-08-03 14:27:52.493828,28656.95,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:27:52-0500', 'data': 'BUY', 'quantity': 12, 'risk_percentage': 0.0, 'price': '28656.95', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 14.2, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 14.2, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_11', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",606549880043,606549880052,606549880054,Order Placed,,68
20575984,MNQ1!,MNQU6,SELL,2026-08-03T09:19:00-0500,2026-08-03,2026-08-03 14:19:00.689558,28639.25,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:19:00-0500', 'data': 'SELL', 'quantity': 1, 'risk_percentage': 0.0, 'price': '28639.25', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 10.0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 10.0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_10', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",606540440043,606540440052,606540440054,Order Placed,,68
20574757,MNQ1!,MNQU6,SELL,2026-08-03T09:07:00-0500,2026-08-03,2026-08-03 14:07:00.392240,28591,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:07:00-0500', 'data': 'SELL', 'quantity': 1, 'risk_percentage': 0.0, 'price': '28591.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 20.0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 20.0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_11', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",606549880005,606549880015,606549880017,Order Placed,,68
20574756,MNQ1!,MNQU6,SELL,2026-08-03T09:07:00-0500,2026-08-03,2026-08-03 14:07:00.368257,28591,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:07:00-0500', 'data': 'SELL', 'quantity': 1, 'risk_percentage': 0.0, 'price': '28591.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 20.0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 20.0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_10', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",606540440005,606540440015,606540440017,Order Placed,,68
20574755,MNQ1!,MNQU6,SELL,2026-08-03T09:07:00-0500,2026-08-03,2026-08-03 14:07:00.436079,28591,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:07:00-0500', 'data': 'SELL', 'quantity': 1, 'risk_percentage': 0.0, 'price': '28591.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 20.0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 20.0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656773363,602656773372,602656773374,Order Placed,,68
20574754,MNQ1!,MNQU6,SELL,2026-08-03T09:07:00-0500,2026-08-03,2026-08-03 14:07:00.458028,28591,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-03T09:07:00-0500', 'data': 'SELL', 'quantity': 1, 'risk_percentage': 0.0, 'price': '28591.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 20.0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 20.0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656732928,602656732937,602656732939,Order Placed,,68
